data,hora,quantidade,,,,,,
2019-01-01,0,1.2,,,,,,
2019-01-01,1,3.6,,,,,,
2019-01-01,2,3.7,,,,,,
2019-01-01,3,4,,,,,,
2019-01-01,4,4.12,,,,,,
2019-01-01,5,5.196,,,,,,
2019-01-01,6,5.82,,,,,,
2019-01-01,7,6.444,,,,,,
2019-01-01,8,7.068,,,,,,
2019-01-01,9,7.692,,,,,,
2019-01-01,10,8.316,,,,,,
2019-01-01,11,8.94,,,,,,
2019-01-01,12,9.564,,,,,,
2019-01-01,13,10.188,,,,,,
2019-01-01,14,10.812,,,,,,
2019-01-01,15,11.436,,,,,,
2019-01-01,16,12.06,,,,,,
2019-01-01,17,12.684,,,,,,
2019-01-01,18,13.308,,,,,,
2019-01-01,19,13.932,,,,,,
2019-01-01,20,14.556,,,,,,
2019-01-01,21,15.18,,,,,,
2019-01-01,22,15.804,,,,,,
2019-01-01,23,16.428,,,,,,
2019-01-02,0,17.052,,,,,,
2019-01-02,1,17.676,,,,,,
2019-01-02,2,18.3,,,,,,
2019-01-02,3,18.924,,,,,,
2019-01-02,4,19.548,,,,,,
2019-01-02,5,20.172,,,,,,
2019-01-02,6,20.796,,,,,,
2019-01-02,7,21.42,,,,,,
2019-01-02,8,22.044,,,,,,
2019-01-02,9,22.668,,,,,,
2019-01-02,10,23.292,,,,,,
2019-01-02,11,23.916,,,,,,
2019-01-02,12,24.54,,,,,,
2019-01-02,13,25.164,,,,,,
2019-01-02,14,25.788,,,,,,
2019-01-02,15,26.412,,,,,,
2019-01-02,16,27.036,,,,,,
2019-01-02,17,27.66,,,,,,
2019-01-02,18,28.284,,,,,,
2019-01-02,19,28.908,,,,,,
2019-01-02,20,29.532,,,,,,
2019-01-02,21,30.156,,,,,,
2019-01-02,22,30.78,,,,,,
2019-01-02,23,31.404,,,,,,
2019-01-03,0,32.028,,,,,,
2019-01-03,1,32.652,,,,,,
2019-01-03,2,33.276,,,,,,
2019-01-03,3,33.9,,,,,,
2019-01-03,4,34.524,,,,,,
2019-01-03,5,35.148,,,,,,
2019-01-03,6,35.772,,,,,,
2019-01-03,7,36.396,,,,,,
2019-01-03,8,37.02,,,,,,
2019-01-03,9,37.644,,,,,,
2019-01-03,10,38.268,,,,,,
2019-01-03,11,38.892,,,,,,
2019-01-03,12,39.516,,,,,,
2019-01-03,13,40.14,,,,,,
2019-01-03,14,40.764,,,,,,
2019-01-03,15,41.388,,,,,,
2019-01-03,16,42.012,,,,,,
2019-01-03,17,42.636,,,,,,
2019-01-03,18,43.26,,,,,,
2019-01-03,19,43.884,,,,,,
2019-01-03,20,44.508,,,,,,
2019-01-03,21,45.132,,,,,,
2019-01-03,22,45.756,,,,,,
2019-01-03,23,46.38,,,,,,
2019-01-04,0,47.004,,,,,,
2019-01-04,1,47.628,,,,,,
2019-01-04,2,48.252,,,,,,
2019-01-04,3,48.876,,,,,,
2019-01-04,4,49.5,,,,,,
2019-01-04,5,50.124,,,,,,
2019-01-04,6,50.748,,,,,,
2019-01-04,7,51.372,,,,,,
2019-01-04,8,51.996,,,,,,
2019-01-04,9,52.62,,,,,,
2019-01-04,10,53.244,,,,,,
2019-01-04,11,53.868,,,,,,
2019-01-04,12,54.492,,,,,,
2019-01-04,13,55.116,,,,,,
2019-01-04,14,55.74,,,,,,
2019-01-04,15,56.364,,,,,,
2019-01-04,16,56.988,,,,,,
2019-01-04,17,56.988,,,,,,
2019-01-04,18,56.988,,,,,,
2019-01-04,19,56.988,,,,,,
2019-01-04,20,56.988,,,,,,
2019-01-04,21,56.988,,,,,,
2019-01-04,22,60.732,,,,,,
2019-01-04,23,60.732,,,,,,
2019-01-05,0,60.732,,,,,,
2019-01-05,1,60.732,,,,,,
2019-01-05,2,60.732,,,,,,
2019-01-05,3,63.852,,,,,,
2019-01-05,4,64.476,,,,,,
2019-01-05,5,65.1,,,,,,
2019-01-05,6,65.724,,,,,,
2019-01-05,7,66.348,,,,,,
2019-01-05,8,66.972,,,,,,
2019-01-05,9,67.596,,,,,,
2019-01-05,10,68.22,,,,,,
2019-01-05,11,68.844,,,,,,
2019-01-05,12,69.468,,,,,,
2019-01-05,13,70.092,,,,,,
2019-01-05,14,70.716,,,,,,
2019-01-05,15,71.34,,,,,,
2019-01-05,16,71.964,,,,,,
2019-01-05,17,72.588,,,,,,
2019-01-05,18,73.212,,,,,,
2019-01-05,19,73.836,,,,,,
2019-01-05,20,74.46,,,,,,
2019-01-05,21,75.084,,,,,,
2019-01-05,22,75.708,,,,,,
2019-01-05,23,75.708,,,,,,
2019-01-06,0,75.708,,,,,,
2019-01-06,1,76.332,,,,,,
2019-01-06,2,76.332,,,,,,
2019-01-06,3,76.332,,,,,,
2019-01-06,4,76.332,,,,,,
2019-01-06,5,76.332,,,,,,
2019-01-06,6,76.332,,,,,,
2019-01-06,7,81.324,,,,,,
2019-01-06,8,81.948,,,,,,
2019-01-06,9,82.572,,,,,,
2019-01-06,10,83.196,,,,,,
2019-01-06,11,83.82,,,,,,
2019-01-06,12,84.444,,,,,,
2019-01-06,13,85.068,,,,,,
2019-01-06,14,85.692,,,,,,
2019-01-06,15,86.316,,,,,,
2019-01-06,16,86.94,,,,,,
2019-01-06,17,87.564,,,,,,
2019-01-06,18,88.188,,,,,,
2019-01-06,19,88.812,,,,,,
2019-01-06,20,89.436,,,,,,
2019-01-06,21,90.06,,,,,,
2019-01-06,22,90.06,,,,,,
2019-01-06,23,90.06,,,,,,
2019-01-07,0,90.06,,,,,,
2019-01-07,1,92.556,,,,,,
2019-01-07,2,93.18,,,,,,
2019-01-07,3,93.804,,,,,,
2019-01-07,4,93.804,,,,,,
2019-01-07,5,93.804,,,,,,
2019-01-07,6,93.804,,,,,,
